GO IPR KO
GO:0000155 IPR003661 K14980
GO:0000155 IPR003661 K07710
GO:0000155 IPR003661 K14982
GO:0000155 IPR003661 K11617
GO:0000155 IPR003661 K11623
GO:0000155 IPR003661 K02484
GO:0000155 IPR003661 K07777
GO:0000155 IPR003661 K19621
GO:0000155 IPR003661 K07647
GO:0000155 IPR003661 K18143
GO:0000155 IPR003661 K07674
GO:0000155 IPR003661 K11633
GO:0000155 IPR003661 K11383
GO:0000155 IPR003661 K20973
GO:0000155 IPR003661 K07701
GO:0000155 IPR003661 K18940
GO:0000155 IPR003661 K11640
GO:0000155 IPR003661 K19694
GO:0000155 IPR003661 K15850
GO:0000155 IPR003661 K18072
GO:0000155 IPR003661 K11614
GO:0000155 IPR003661 K07778
GO:0000155 IPR003661 K02489
GO:0000155 IPR003661 K07769
GO:0000155 IPR003661 K07656
GO:0000155 IPR003661 K07711
GO:0000155 IPR003661 K10681
GO:0000155 IPR003661 K07708
GO:0000155 IPR003661 K13040
GO:0000155 IPR003661 K14978
GO:0000155 IPR003661 K19690
GO:0000155 IPR003661 K19691
GO:0000155 IPR003661 K18350
GO:0000155 IPR003661 K18351
GO:0000155 IPR003661 K19692
GO:0000155 IPR003661 K07683
GO:0000155 IPR003661 K08475
GO:0000155 IPR003661 K20339
GO:0000155 IPR003661 K07704
GO:0000155 IPR003661 K07768
GO:0000155 IPR003661 K20974
GO:0000155 IPR003661 K20975
GO:0000155 IPR003661 K02668
GO:0000155 IPR003661 K07698
GO:0000155 IPR003661 K07700
GO:0000155 IPR003661 K11354
GO:0000155 IPR003661 K07652
GO:0000155 IPR003661 K20960
GO:0000155 IPR003661 K00936
GO:0000155 IPR003661 K11629
GO:0000155 IPR003661 K08479
GO:0000155 IPR003661 K07640
GO:0000155 IPR003661 K02476
GO:0000155 IPR003661 K19077
GO:0000155 IPR003661 K11356
GO:0000155 IPR003661 K07648
GO:0000155 IPR003661 K11637
GO:0000155 IPR003661 K10916
GO:0000155 IPR003661 K07638
GO:0000155 IPR003661 K08082
GO:0000155 IPR003661 K18986
GO:0000155 IPR003661 K07644
GO:0000155 IPR003661 K19081
GO:0000155 IPR003661 K14489
GO:0000155 IPR003661 K07706
GO:0000155 IPR003661 K10909
GO:0000155 IPR003661 K07654
GO:0000155 IPR003661 K07655
GO:0000155 IPR003661 K07653
GO:0000155 IPR003661 K07646
GO:0000155 IPR003661 K07643
GO:0000155 IPR003661 K19616
GO:0000155 IPR003661 K15011
GO:0000155 IPR003661 K11711
GO:0000155 IPR003661 K11691
GO:0000155 IPR003661 K02491
GO:0000155 IPR003661 K07637
GO:0000155 IPR003661 K06596
GO:0000155 IPR003661 K07642
GO:0000155 IPR003661 K07680
GO:0000155 IPR003661 K07681
GO:0000155 IPR003661 K07645
GO:0000155 IPR003661 K07679
GO:0000155 IPR003661 K10715
GO:0000155 IPR003661 K11328
GO:0000155 IPR003661 K07682
GO:0000155 IPR003661 K07636
GO:0000155 IPR003661 K13598
GO:0000155 IPR003661 K07641
GO:0000155 IPR003661 K11527
GO:0000155 IPR003661 K07639
GO:0000155 IPR003661 K11526
GO:0000155 IPR004105 K13532
GO:0000155 IPR004105 K13490
GO:0000155 IPR004105 K13533
GO:0000155 IPR004105 K07650
GO:0000155 IPR004105 K20263
GO:0000155 IPR004105 K10942
GO:0000155 IPR004105 K07677
GO:0000155 IPR004105 K07649
GO:0000155 IPR004105 K19609
GO:0000155 IPR004105 K07678
GO:0000155 IPR004105 K13587
GO:0000155 IPR004105 K02486
GO:0000155 IPR004105 K10125
GO:0000155 IPR004105 K07676
GO:0000155 IPR004105 K11231
GO:0000155 IPR004105 K18345
GO:0000155 IPR004105 K11357
GO:0000155 IPR004105 K19661
GO:0000155 IPR004105 K02478
GO:0000155 IPR004105 K07717
GO:0000155 IPR004105 K11520
GO:0000155 IPR004105 K02480
GO:0000155 IPR004105 K07718
GO:0000155 IPR004105 K07716
GO:0000155 IPR004105 K02482
GO:0000155 IPR004105 K20487
GO:0000155 IPR004105 K07675
GO:0000155 IPR004105 K12294
GO:0000155 IPR004105 K03407
GO:0000155 IPR004105 K07651
GO:0000155 IPR004105 K07697
GO:0000155 IPR004105 K17060
GO:0000155 IPR004105 K14986
GO:0000155 IPR004105 K07673
GO:0000155 IPR004105 K14988
GO:0000155 IPR004105 K07709
GO:0000155 IPR004105 K14980
GO:0000155 IPR004105 K07710
GO:0000155 IPR004105 K14982
GO:0000155 IPR004105 K11617
GO:0000155 IPR004105 K11623
GO:0000155 IPR004105 K02484
GO:0000155 IPR004105 K07777
GO:0000155 IPR004105 K19621
GO:0000155 IPR004105 K07647
GO:0000155 IPR004105 K18143
GO:0000155 IPR004105 K07674
GO:0000155 IPR004105 K11633
GO:0000155 IPR004105 K11383
GO:0000155 IPR004105 K20973
GO:0000155 IPR004105 K07701
GO:0000155 IPR004105 K18940
GO:0000155 IPR004105 K11640
GO:0000155 IPR004105 K19694
GO:0000155 IPR004105 K15850
GO:0000155 IPR004105 K18072
GO:0000155 IPR004105 K11614
GO:0000155 IPR004105 K07778
GO:0000155 IPR004105 K02489
GO:0000155 IPR004105 K07769
GO:0000155 IPR004105 K07656
GO:0000155 IPR004105 K07711
GO:0000155 IPR004105 K10681
GO:0000155 IPR004105 K07708
GO:0000155 IPR004105 K13040
GO:0000155 IPR004105 K14978
GO:0000155 IPR004105 K19690
GO:0000155 IPR004105 K19691
GO:0000155 IPR004105 K18350
GO:0000155 IPR004105 K18351
GO:0000155 IPR004105 K19692
GO:0000155 IPR004105 K07683
GO:0000155 IPR004105 K08475
GO:0000155 IPR004105 K20339
GO:0000155 IPR004105 K07704
GO:0000155 IPR004105 K07768
GO:0000155 IPR004105 K20974
GO:0000155 IPR004105 K20975
GO:0000155 IPR004105 K02668
GO:0000155 IPR004105 K07698
GO:0000155 IPR004105 K07700
GO:0000155 IPR004105 K11354
GO:0000155 IPR004105 K07652
GO:0000155 IPR004105 K20960
GO:0000155 IPR004105 K00936
GO:0000155 IPR004105 K11629
GO:0000155 IPR004105 K08479
GO:0000155 IPR004105 K07640
GO:0000155 IPR004105 K02476
GO:0000155 IPR004105 K19077
GO:0000155 IPR004105 K11356
GO:0000155 IPR004105 K07648
